[HEADER]
Format	J&M ASCII Table
Comment	COA_09_P.00037_HAL03-noFilter_UVIR600um2-UV400um0.5_23mm
Date	02/08/2024 12:19:50
Order	Y (evenX)
TechType	UV
NumPoints	841
FirstX	304
LastX	1144
XType	nm
YType	Transmission
ZType	s
NumSubFile	61
Matrix	Z vs X
[LOGIN]
Name=JM
[INSTRUMENT]
Name=TIDAS S
Detector=MMS - ASPEN 97,5 kHz
Diodearray=256 Pixel
Serial#=39059
Calibrated=2016-03-14
Range=303.56-1144.49 [nm] (F0)

SWVersion=v3.22.6 (build 0)
[CONFIG]
ChannelName=Result
ChannelType=Normalized
[PARAMETER]
It=124.00
Aver=20
Norm=1
Range=304.0-1144.0 nm
Scan=Single
[TRIGGER]
Sweep=0
Scan=0
[DIO]
DigOut=0x0000
DigIn=0x0000
[DATA]
	00:00:00.000	00:00:23.822	00:00:47.617	00:01:11.618	00:01:35.418	00:01:59.426	00:02:23.428	00:02:47.231	00:03:11.226	00:03:35.220	00:03:59.018	00:04:23.013	00:04:47.008	00:05:10.811	00:05:34.804	00:05:58.795	00:06:22.790	00:06:46.783	00:07:10.784	00:07:34.777	00:07:58.768	00:08:22.767	00:08:46.759	00:09:10.752	00:09:34.748	00:09:58.748	00:10:22.746	00:10:46.546	00:11:10.543	00:11:34.542	00:11:58.542	00:12:22.529	00:12:46.532	00:13:10.530	00:13:34.521	00:13:58.514	00:14:22.512	00:14:46.509	00:15:10.510	00:15:34.505	00:15:58.495	00:16:22.493	00:16:46.294	00:17:10.287	00:17:34.089	00:17:58.084	00:18:22.078	00:18:46.075	00:19:10.073	00:19:34.069	00:19:57.872	00:20:21.866	00:20:45.864	00:21:09.854	00:21:33.850	00:21:57.857	00:22:21.856	00:22:45.852	00:23:09.845	00:23:33.842	00:23:57.836
304	28.662453	28.608858	29.466618	29.190233	30.529272	29.382006	29.184229	29.347511	29.690584	29.855017	28.787561	28.477806	29.013855	29.63102	29.255749	28.134701	29.13661	29.664391	29.447546	30.179047	28.537373	28.075134	29.744179	29.538103	29.930035	28.222816	29.908579	29.005558	28.807779	28.729141	30.404192	28.820879	29.619099	28.979364	29.722782	27.971449	28.253838	28.386068	27.958351	27.014833	27.515184	27.435398	27.864292	27.330566	27.310318	28.215664	29.209307	26.703897	26.164228	27.179232	28.621956	27.673641	28.101358	26.942141	28.848278	27.39608	27.03985	26.849258	28.120428	27.66169	28.201422
305	28.419382	28.693649	29.247335	28.794374	29.796017	28.746601	28.550301	29.307716	29.529179	29.841215	28.603104	28.265879	27.994219	29.55937	29.008261	28.044388	29.068644	29.443636	28.960487	29.775831	28.235689	28.074577	29.25491	29.705265	28.963093	27.209068	29.566946	28.640873	28.444571	28.187916	29.612324	28.487343	29.071247	28.55533	29.858795	27.287029	27.984035	27.966452	27.24423	26.635164	27.369967	27.558691	27.835533	27.216465	27.374968	27.410339	29.081223	26.74332	25.880203	26.947201	28.736418	27.437925	28.160149	26.622585	28.127563	27.430349	27.166086	26.768509	28.446966	26.949804	27.812922
306	28.179893	28.777145	29.031281	28.404388	29.073616	28.120581	27.925726	29.268499	29.370148	29.827579	28.421364	28.057077	26.989639	29.488743	28.764421	27.955427	29.001638	29.226133	28.480616	29.37859	27.938482	28.074022	28.772863	29.869974	28.010458	26.210287	29.230356	28.28154	28.08672	27.654675	28.832176	28.158724	28.531452	28.137556	29.992788	26.612686	27.71821	27.553028	26.540678	26.261124	27.226887	27.680126	27.807194	27.10404	27.438684	26.616907	28.955021	26.782148	25.600397	26.718586	28.849152	27.205688	28.218067	26.307741	27.417458	27.464104	27.290419	26.688974	28.768703	26.248402	27.430183
307	27.987103	28.789627	28.826666	28.079935	28.434797	27.562336	27.417788	29.226789	29.165077	29.7138	28.29439	27.935389	26.182243	29.379501	28.560528	27.902493	28.878349	28.971184	28.059376	29.045233	27.733303	28.030563	28.226763	29.854208	27.244484	25.443768	28.886574	27.962429	27.764454	27.153986	28.156322	27.844891	28.104609	27.710966	30.103365	26.056511	27.436575	27.199251	25.93078	25.976013	27.081743	27.760342	27.752087	27.07118	27.465387	25.971901	28.723803	26.848503	25.410839	26.520655	28.903023	26.993021	28.245047	25.998911	26.782681	27.514734	27.351963	26.646385	28.897137	25.639969	27.151649
308	28.06176	28.367699	28.672291	28.125858	28.246763	27.365494	27.575779	29.165503	28.657856	28.974585	28.490934	28.33614	26.50592	29.022905	28.581598	28.065374	28.397909	28.462008	27.956633	29.071194	28.072638	27.719721	27.235054	28.730444	27.549183	26.02717	28.465622	27.858707	27.62903	26.804596	28.054556	27.591557	28.328911	27.189068	30.080627	26.171085	27.030659	27.176905	25.83625	26.208529	26.909754	27.595171	27.527517	27.522558	27.267569	26.1747	27.826162	27.089825	25.756403	26.491457	28.60099	26.879513	28.08477	25.697268	26.548323	27.673704	27.034273	26.826292	27.852789	25.542473	27.485115
309	28.137991	27.937153	28.514788	28.172735	28.054943	27.164688	27.737013	29.10302	28.140285	28.220341	28.691473	28.745058	26.836189	28.659025	28.603146	28.2316	27.907721	27.942436	27.851814	29.097736	28.418884	27.402565	26.223118	27.583811	27.860085	26.622496	28.036079	27.75292	27.490892	26.448101	27.950737	27.333075	28.557804	26.656515	30.057451	26.287989	26.616488	27.154123	25.739817	26.445808	26.734278	27.426687	27.298359	27.983189	27.065765	26.38163	26.91024	27.336094	26.109037	26.461687	28.29282	26.763741	27.921274	25.389463	26.309181	27.835936	26.710129	27.009859	26.787197	25.443045	27.825371
310	28.215759	27.497768	28.35404	28.220549	27.859146	26.959717	27.901598	29.039246	27.612078	27.450525	28.896179	29.16243	27.173265	28.287645	28.625111	28.401283	27.407402	27.412191	27.744835	29.124796	28.772264	27.078842	25.190357	26.413521	28.177425	27.230055	27.597713	27.644924	27.349884	26.084263	27.84478	27.069267	28.791418	26.113022	30.033831	26.407331	26.193813	27.130875	25.641397	26.687946	26.555187	27.254728	27.064478	28.453281	26.859776	26.592821	25.975445	27.587404	26.468939	26.431305	27.978271	26.645554	27.754414	25.075317	26.065107	28.001541	26.379272	27.197239	25.699615	25.341568	28.172636
311	27.81378	27.218544	28.117603	28.349083	27.312258	26.770037	27.616081	28.587481	27.751774	27.399052	28.258175	28.659824	26.763851	28.323597	28.315365	28.03907	27.195131	27.195131	27.569225	28.942276	28.693571	27.124865	25.050455	26.42762	28.043186	26.81278	27.82826	27.112484	26.914724	26.304337	27.873045	26.946428	28.1073	25.972956	29.331551	25.964695	26.302263	26.663977	25.700838	26.034964	26.395977	27.681503	27.583673	27.858597	26.797598	26.597824	25.416285	27.214428	26.599895	26.398018	27.718025	26.827229	27.135866	24.923023	25.590601	27.33363	26.349089	26.763851	25.346014	25.222698	27.941242
312	27.323717	26.971546	27.868429	28.492031	26.702551	26.584551	27.247261	28.065317	28.016993	27.483868	27.464951	27.986427	26.215893	28.436407	27.944857	27.578663	27.038786	27.038786	27.381775	28.72131	28.533606	27.240541	25.080547	26.665842	27.824423	26.204277	28.183895	26.50326	26.426802	26.633453	27.926517	26.851112	27.254013	25.910191	28.505505	25.418669	26.510557	26.116234	25.789759	25.216917	26.241562	28.218746	28.241983	27.066338	26.763069	26.563778	24.931984	26.725784	26.686646	26.364458	27.469816	27.064484	26.435986	24.802397	25.07568	26.512411	26.376045	26.215893	25.133738	25.101349	27.601868
313	26.835987	26.725733	27.620459	28.634293	26.095778	26.399925	26.880249	27.545643	28.280935	27.568304	26.675522	27.316311	25.670549	28.548676	27.576164	27.120443	26.883224	26.883224	27.195257	28.501406	28.374439	27.355688	25.110525	26.902914	27.606684	25.598707	28.537813	25.896969	25.941233	26.960981	27.979729	26.756224	26.404869	25.847727	27.683439	24.875246	26.717848	25.571159	25.878248	24.402779	26.087921	28.753399	28.897085	26.277872	26.728678	26.529867	24.450018	26.239494	26.772972	26.331026	27.222807	27.300564	25.739479	24.682352	24.563211	25.695154	26.402899	25.670549	24.922483	24.980583	27.264156
