[HEADER]
Format	J&M ASCII Table
Comment	COA_01_P.00033_HAL03-noFilter_UVIR600um2-UV400um0.5_23mm
Date	01/08/2024 09:26:48
Order	Y (evenX)
TechType	UV
NumPoints	841
FirstX	304
LastX	1144
XType	nm
YType	Transmission
ZType	s
NumSubFile	61
Matrix	Z vs X
[LOGIN]
Name=JM
[INSTRUMENT]
Name=TIDAS S
Detector=MMS - ASPEN 97,5 kHz
Diodearray=256 Pixel
Serial#=39059
Calibrated=2016-03-14
Range=303.56-1144.49 [nm] (F0)

SWVersion=v3.22.6 (build 0)
[CONFIG]
ChannelName=Result
ChannelType=Normalized
[PARAMETER]
It=120.00
Aver=20
Norm=1
Range=304.0-1144.0 nm
Scan=Single
[TRIGGER]
Sweep=0
Scan=0
[DIO]
DigOut=0x0000
DigIn=0x0000
[DATA]
	00:00:00.000	00:00:23.840	00:00:47.657	00:01:11.468	00:01:35.257	00:01:59.081	00:02:22.886	00:02:46.685	00:03:10.478	00:03:34.309	00:03:58.112	00:04:21.915	00:04:45.709	00:05:09.537	00:05:33.349	00:05:57.148	00:06:20.943	00:06:44.748	00:07:08.547	00:07:32.343	00:07:56.141	00:08:19.940	00:08:43.748	00:09:07.541	00:09:31.341	00:09:55.133	00:10:18.930	00:10:42.725	00:11:06.527	00:11:30.318	00:11:54.117	00:12:17.924	00:12:41.719	00:13:05.513	00:13:29.308	00:13:53.114	00:14:16.909	00:14:40.707	00:15:04.501	00:15:28.298	00:15:52.093	00:16:15.888	00:16:39.686	00:17:03.477	00:17:27.270	00:17:51.066	00:18:14.867	00:18:38.667	00:19:02.455	00:19:26.252	00:19:50.049	00:20:13.843	00:20:37.641	00:21:01.440	00:21:25.242	00:21:49.040	00:22:12.840	00:22:36.640	00:23:00.435	00:23:24.231	00:23:48.025
304	47.577656	57.918423	43.43372	53.472836	57.8825	66.58741	45.958672	47.838902	66.747757	43.912476	44.774647	62.317955	48.854713	42.726265	56.623417	66.531357	48.943237	59.023891	66.736511	55.644585	42.861958	41.982887	64.185829	55.959671	57.169426	60.054249	42.541245	54.333954	45.238865	48.329952	43.14896	42.515488	53.954994	59.470135	53.980755	65.153419	51.250648	62.621765	51.603848	52.170013	52.65107	42.744217	57.685154	54.750996	42.341713	61.313362	40.777649	51.337009	54.831707	57.114471	56.449615	51.101555	51.914425	48.199883	61.941181	62.360554	53.459431	40.126259	40.425556	45.413746	42.281136
305	47.473316	58.229256	43.230862	52.786003	57.687134	66.053185	45.775394	47.480503	66.578697	43.314186	44.229717	62.248222	49.11174	42.610168	56.319736	66.081718	48.553001	58.880913	66.117439	54.80978	43.054844	41.44738	63.912918	55.630123	56.835793	59.710876	42.003853	54.122406	45.114281	47.604218	42.721992	42.34383	53.941631	59.494419	53.601624	64.961609	51.021397	62.607307	51.542179	51.487583	53.064053	42.881229	57.040371	54.003586	42.198776	61.078243	40.893169	51.304348	54.055916	56.443451	56.174683	50.95718	51.71104	47.390213	61.225765	62.600117	53.166431	40.243973	39.951546	44.838493	41.575821
306	47.369686	58.537983	43.029377	52.103806	57.493065	65.522614	45.593391	47.124527	66.410797	42.719906	43.688435	62.178982	49.367081	42.494862	56.018143	65.635155	48.165382	58.738911	65.502525	53.980583	43.246414	40.915455	63.641857	55.302811	56.504429	59.369839	41.470058	53.912319	44.990551	46.883377	42.297939	42.173374	53.928398	59.518551	53.225052	64.771118	50.793709	62.592934	51.480942	50.809757	53.474277	43.017334	56.39991	53.261219	42.056816	60.844761	41.007923	51.27195	53.285336	55.776997	55.901588	50.813793	51.509064	46.585976	60.515179	62.838097	52.875443	40.360882	39.480736	44.267155	40.875259
307	47.221489	58.652161	42.842056	51.412678	57.322651	65.04232	45.460922	46.72171	66.224411	42.251881	43.194954	61.965034	49.524826	42.264114	55.736835	65.179695	47.758606	58.463943	64.887619	53.253155	43.32058	40.329304	63.301826	54.948936	56.154507	58.936363	40.921192	53.616089	44.747822	46.219738	41.869915	41.915127	53.82769	59.46347	52.81813	64.487823	50.534363	62.45306	51.387035	50.13063	53.719921	42.985538	55.789886	52.54174	41.842529	60.522186	40.982067	51.171463	52.569126	55.098015	55.644691	50.646042	51.220615	45.835579	59.933674	62.937176	52.584755	40.34103	39.115414	43.708645	40.168507
308	46.796528	57.585526	42.734623	50.642838	57.290363	64.851341	45.625534	46.01936	65.919006	42.536026	42.975178	60.862213	49.094086	41.322151	55.569183	64.653976	47.220867	57.369934	64.251198	53.119614	42.682514	39.392193	62.530048	54.421051	55.679298	57.924747	40.261269	52.784992	43.771751	45.880898	41.402645	41.113373	53.191132	58.924263	52.211975	63.629467	50.073242	61.544079	51.090961	49.419765	52.972176	41.93034	55.343445	51.936279	41.18029	59.645897	40.099049	50.653046	52.15863	54.318935	55.47728	50.323975	50.395523	45.386211	60.117752	62.194191	52.285683	39.487495	39.379547	43.208946	39.39901
309	46.373707	56.524212	42.62772	49.876862	57.258194	64.661293	45.789341	45.320541	65.61512	42.818741	42.756466	59.764923	48.66552	40.384918	55.402363	64.13089	46.68581	56.281353	63.617943	52.986698	42.047604	38.459789	61.762089	53.89576	55.206448	56.918175	39.604633	51.958042	42.800583	45.543736	40.937729	40.31562	52.557743	58.387711	51.608841	62.775387	49.614418	60.639626	50.79636	48.71241	52.228153	40.880379	54.899239	51.333839	40.521358	58.774002	39.220463	50.13718	51.750175	53.543766	55.310684	50.00351	49.574551	44.939114	60.300892	61.45488	51.988117	38.638222	39.642376	42.7117	38.633327
310	45.95298	55.468178	42.521358	49.114697	57.226227	64.472244	45.952339	44.625195	65.312759	43.100021	42.538879	58.673119	48.239075	39.452374	55.236416	63.610413	46.153435	55.198242	62.987846	52.854492	41.415871	37.532051	60.998005	53.373104	54.73597	55.916637	38.951317	51.135235	41.834274	45.208298	40.475117	39.521862	51.927525	57.853848	51.008709	61.925591	49.157898	59.739731	50.503235	48.008625	51.487858	39.835697	54.457272	50.734383	39.865753	57.906448	38.346275	49.623905	51.343781	52.772449	55.144966	49.684658	48.75769	44.494255	60.483135	60.719307	51.69202	37.793228	39.9039	42.216953	37.871506
311	45.532833	55.355366	42.021854	49.0495	56.439041	64.504829	45.343685	44.929298	65.002686	43.038429	42.349514	58.261608	47.638775	39.536942	55.076385	63.447094	45.856716	54.822708	62.922024	52.387173	41.086819	37.540398	60.786968	52.892624	54.502605	55.556553	39.452789	50.786655	41.945263	45.384163	40.356781	39.464802	51.705845	57.785217	50.928974	61.517014	48.602894	59.479343	49.744743	47.901939	51.036556	39.505924	54.43808	50.724037	39.387009	57.644772	38.342548	49.318993	51.249077	52.297318	54.446308	49.059631	48.471912	44.533276	60.022141	60.722446	51.358559	37.417675	39.383202	42.169853	37.907307
312	45.109253	55.419678	41.44397	49.115288	55.502743	64.579514	44.584286	45.424564	64.688583	42.911537	42.16391	57.975101	47.000671	39.814171	54.916161	63.349842	45.602028	54.577656	62.96217	51.852695	40.812157	37.725529	60.678577	52.416115	54.312061	55.314571	40.176407	50.5247	42.260525	45.657967	40.302425	39.546307	51.559418	57.803852	50.946838	61.188309	48.024654	59.337563	48.89212	47.907097	50.636017	39.308407	54.498554	50.82478	38.937714	57.495308	38.50312	49.050888	51.212425	51.874172	53.641258	48.371624	48.284035	44.663952	59.43589	60.865063	51.015228	37.127644	38.710522	42.206833	38.093971
313	44.68214	55.48452	40.861233	49.181675	54.558586	64.654846	43.818512	45.924015	64.371857	42.783585	41.976749	57.686199	46.357216	40.093777	54.754608	63.251789	45.345211	54.330551	63.00267	51.31374	40.535191	37.912254	60.569263	51.935619	54.119907	55.070541	40.906147	50.260525	42.578445	45.93409	40.247623	39.62851	51.411755	57.822655	50.964832	60.856853	47.441597	59.194607	48.03231	47.912308	50.232155	39.109238	54.559517	50.926388	38.484619	57.344597	38.665058	48.780544	51.175476	51.447487	52.829487	47.677868	48.094582	44.795708	58.844734	61.0089	50.669022	36.835186	38.032196	42.244164	38.282249
